,Район,Адрес,Площадь,clean_address,latitude,longitude
0,Кировский,"сквер б/н на ул.Васи Алексеева, д.16",0.63,санкт-петербург улица Васи Алексеева дом 16,59.8791566,30.2603532
1,Кировский,"сквер б/н на Двинской ул., д.16, корп.1",0.42,санкт-петербург улица Двинская дом 16  корпус 1,59.9087496,30.2330742
2,Кировский,Молвинский сад на Промышленной ул. между д.17 и д.19,4.45,санкт-петербург улица Промышленная дом 17,59.8991787,30.2534143
3,Кировский,Кировский сквер на Кировской пл.,1.13,санкт-петербург площадь Кировская ,59.7499357,30.0958165
4,Кировский,"сад Девятого Января между ул.Маршала Говорова, Тихомировской ул. и пр.Стачек",11.3,санкт-петербург улица Маршала Говорова ,59.8885784,30.2666206
5,Кировский,сквер б/н на пересечении ул..Маршала Говорова и Охотничьего пер.,0.71,санкт-петербург улица Маршала Говорова ,59.8885784,30.2666206
6,Кировский,сад б/н на ул.Корнеева,1.95,санкт-петербург улица Корнеева ,59.8849961,30.2596913
7,Кировский,"сад Кирьяново на пр.Стачек, д.45",2.76,санкт-петербург проспект Стачек дом 45,59.8860369,30.255721
8,Кировский,сквер б/н на пересечении ул. Возрождения и Автовской ул.,0.9,санкт-петербург улица Возрождения ,59.8804815,30.2671268
9,Кировский,бульвар б/н на ул.Новостроек от пр.Стачек до Автовской ул.,3.82,санкт-петербург улица Новостроек ,59.8751004,30.2562837
10,Кировский,"сквер б/н на пр.Стачек, д.72",1.74,санкт-петербург проспект Стачек дом 72,59.8784876,30.2521103
11,Кировский,бульвар б/н на Автовской ул. и ул.Примакова от ул.Васи Алексеева до д.16 по ул.Примакова,4.01,санкт-петербург улица Автовская ,59.8710794,30.2625355
12,Кировский,сквер б/н на ул.Зенитчиков между пр.Стачек и Краснопутиловской ул.,2.18,санкт-петербург улица Зенитчиков ,59.8731223,30.2482169
13,Кировский,сквер б/н на Автовской ул. от ул.Новостроек до ул.Васи Алексеева,1.02,санкт-петербург улица Автовская ,59.8710794,30.2625355
14,Кировский,сквер Петра Семененко на ул.Червонного Казачества и Портовой ул. между Кронштадтской ул. и Автовской ул.,1.14,санкт-петербург улица Червонного Казачества ,59.8658494,30.2590583
15,Кировский,"сквер б/н на ул.Червонного Казачества, д.4",0.48,санкт-петербург улица Червонного Казачества дом 4,59.8654212,30.2570882
16,Кировский,бульвар б/н на пр.Стачек,23.88,санкт-петербург проспект Стачек ,59.8737783,30.248301
17,Кировский,"сквер б/н на Ленинском пр., д.110, корп.1",0.5,санкт-петербург проспект Ленинский дом 110  корпус 1,59.8536145,30.220885
18,Кировский,сквер б/н вдоль р.Дачной от пр.Ветеранов до Дачного пр.,1.62,санкт-петербургр Дачной ,59.8398115,30.0944375
19,Кировский,"сквер б/н на бульв.Новаторов, д.59",0.29,санкт-петербург бульвар Новаторов дом 59,59.8434346,30.2517723
20,Кировский,"парк Александрино на пр.Ветеранов между пр.Народного Ополчения, ул.Козлова и пр.Стачек",110.52,санкт-петербург проспект Ветеранов ,59.8331149,30.1633308
21,Кировский,сквер б/н вдоль р.Новой между ул.Бурцева и пр.Ветеранов,2.27,санкт-петербургр Новой ,59.9276937,30.0330405
22,Кировский,"сквер б/н на ул.Солдата Корзуна, д.3",0.51,санкт-петербург улица Солдата Корзуна дом 3,59.8320387,30.2078014
23,Кировский,"сквер Передний Край Обороны между ул.Стойкости, пр.Маршала Жукова и пр.Народного Ополчения",1.42,санкт-петербург улица Стойкости ,59.8272579,30.1954587
