Район города,Номер по списку,Наименование,"Площадь, га",Основание
Кировский,5046,"сквер б/н на ул.Васи Алексеева, д.16",0.63,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5058,"сквер б/н на Двинской ул., д.16, корп.1",0.42,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5061,Молвинский сад на Промышленной ул. между д.17 и д.19,4.45,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5065,Кировский сквер на Кировской пл.,1.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5066,"сад Девятого Января между ул.Маршала Говорова, Тихомировской ул. и пр.Стачек",11.3,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5068,сквер б/н на пересечении ул..Маршала Говорова и Охотничьего пер.,0.71,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5069,сад б/н на ул.Корнеева,1.95,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5070,"сад Кирьяново на пр.Стачек, д.45",2.76,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5071,сквер б/н на пересечении ул. Возрождения и Автовской ул.,0.9,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5072,бульвар б/н на ул.Новостроек от пр.Стачек до Автовской ул.,3.82,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5073,"сквер б/н на пр.Стачек, д.72",1.74,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5076,бульвар б/н на Автовской ул. и ул.Примакова от ул.Васи Алексеева до д.16 по ул.Примакова,4.01,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5077,сквер б/н на ул.Зенитчиков между пр.Стачек и Краснопутиловской ул.,2.18,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5078,сквер б/н на Автовской ул. от ул.Новостроек до ул.Васи Алексеева,1.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5081,сквер Петра Семененко на ул.Червонного Казачества и Портовой ул. между Кронштадтской ул. и Автовской ул.,1.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5082,"сквер б/н на ул.Червонного Казачества, д.4",0.48,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5083,бульвар б/н на пр.Стачек,23.88,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5086,"сквер б/н на Ленинском пр., д.110, корп.1",0.5,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5091,сквер б/н вдоль р.Дачной от пр.Ветеранов до Дачного пр.,1.62,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
