Район,Номер территории,Адрес,Ориентировочная,Основание,Муниципальное,Дата внесения в базу
Адмиралтейский,32-1-1,"сквер б/н на наб. кан. Грибоедова,  д. 164",0.16,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-2,"сквер б/н на наб. кан. Грибоедова,  д. 166",0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-3,"сквер б/н на Английском пр., д. 17-19",0.16,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-4,"сквер б/н в пер. Макаренко, д. 9",0.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-5,"сквер б/н на Садовой ул., д. 109",0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-6,"сквер б/н на Канонерской ул., д. 17",0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-7,"сквер б/н на Канонерской ул., д. 7-9",0.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-8,"сквер б/н на ул. Декабристов, д. 29",0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-9,сквер б/н во дворе д. 15 по Английскому пр.,0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-10,сквер б/н южнее д. 18-20  по наб. р. Пряжки,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-11,сквер б/н южнее д. 2 по Английскому пр.,0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-12,сквер б/н южнее д. 114 по наб. р. Мойки,0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-13,сквер б/н севернее д. 10  по ул. Писарева,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-14,сквер б/н во дворе д. 21/60 по Английскому пр.,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-15,сквер б/н северо-восточнее д. 5/6 по Витебской ул.,0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-16,сквер б/н восточнее д. 12 по Витебской ул.,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-17,"сквер б/н во дворе д. 7, д. 9 и д. 11 по Псковской ул.",0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-18,сквер б/н во дворе д. 8  по Дровяному пер.,0.01,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-19,сквер б/н севернее д. 5 по Мясной ул.,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-20,сквер б/н южнее д. 20 по Витебской ул.,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-21,сквер б/н южнее д. 17 по Псковской ул.,0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-22,сквер б/н во дворе д. 99 по пр. Римского-Корсакова,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-23,сквер б/н во дворе д. 95 по пр. Римского-Корсакова,0.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-24,сквер б/н во дворе д. 89-91 по пр. Римского-Корсакова,0.06,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-25,сквер б/н во дворе д. 22 по Дровяному пер.,0.01,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-26,сквер б/н западнее д. 34 по Псковской ул.,0.01,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-27,сквер б/н во дворе д. 30-32 по Псковской ул.,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-28,сквер б/н севернее д. 61 по пр. Римского-Корсакова,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-29,сквер б/н севернее д. 69 по пр. Римского-Корсакова,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-30,сквер б/н во дворе д. 14 по Витебской ул.,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-31,сквер б/н севернее д. 30 по Английскому пр.,0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
Адмиралтейский,32-1-32,сквер б/н во дворе д. 46 по ул. Декабристов,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Коломна,
